text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail,label
Warkopnya punya keset ugm,2,0.0,2025-10-04T11:57:31.000Z,c4ngcimen,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6887847508073661442,7557334444863013650,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2d8d33d3b703349ea4422efcb1590a5c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=345e829b&x-expires=1765332000&x-signature=iCHUffSgIeD5nQSIRpwaZxl9qNU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
"gue cewek tapi bagian operator mesin, kalo ada kerusakan mesin baru panggil engineering 😆",8,2.0,2025-10-20T03:27:50.000Z,jdhhdhsd,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7136161526939190299,7563139863278060306,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/0c0f7a1be12de5d8cdd853a3aa3e2ebc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=312ef607&x-expires=1765332000&x-signature=JdNmfOIinpja0ZLhASObr6FDgM8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
izin remake bang,3,3.0,2025-09-26T01:51:31.000Z,_jerkayo,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7151643647006573594,7554209575341310727,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ab2b8f6b264edd3da132226273d843b1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4e072db0&x-expires=1765332000&x-signature=sQLXVilkAaVHjZoXnCJ9C%2Fyexyo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
anjayy fyp coyy mas” enginerring inii😂,4,1.0,2025-09-23T05:27:03.000Z,024nay,https://www.tiktok.com/@bmstrr/video/7551238417321823544,76346099232,7553151868819948296,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/0ac5d9a0bceeeffe7651b6ca3f7a5522~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6bdfb996&x-expires=1765332000&x-signature=m2nLiSlCamqoXmsMHRE4VDHC5xc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
kalau lulusan sma jadi teknisi termasuk engineer?,46,8.0,2025-09-19T05:41:34.000Z,argaaa_s,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6816662848392578050,7551671293922722567,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/93b96ada3a8336b0235d8b6b382ea38a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=68e6947e&x-expires=1765332000&x-signature=tR3H%2FnUa0%2Fjzh9u9%2Fee1mJPE7x8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
"belum bro, engineer itu dalam bahasa Indonesia ya insinyur, seseorang lulusan teknik dari perguruan tinggi",126,,2025-09-20T19:46:23.000Z,galacticossil,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7500439878187566096,7552260068570546964,https://p16-common-sign.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a91dba43&x-expires=1765332000&x-signature=1r3TgIKGVT6KKGNoB9%2B0MzW5BBw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
seleb mesinn😱,23,3.0,2025-09-18T16:33:07.000Z,nanacantiiikkkk,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6776490876102280194,7551468113104077586,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/f0754c1eff8a1c22ef0c55086ac88694~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8d3c8f13&x-expires=1765332000&x-signature=ig7tp84UELKqTrs0wg9Jh61I5ik%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
Mesin bagian petentang petenteng🤙🏼,1,,2025-09-20T01:45:31.000Z,bmstrr,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7132706165552940059,7551981515561173781,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/62beb33ef41390d9827674651c2f0084~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=33062cbc&x-expires=1765332000&x-signature=Dpd7oU0fJTi8ctUvpDeUd%2FwIleI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
minta gambar yang pertama bang 😁,11,4.0,2025-09-22T11:15:20.000Z,aakgim1,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6895369337965396993,7552870504962704145,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/c38ac9540d20ae011b9ea49ed2a7ba5b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=48ff90fb&x-expires=1765332000&x-signature=JAGy0TlEustZvDsFIRIlVpWVNKI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
dm bang,1,,2025-09-22T11:18:14.000Z,bmstrr,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7132706165552940059,7552871312327213844,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/62beb33ef41390d9827674651c2f0084~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=33062cbc&x-expires=1765332000&x-signature=Dpd7oU0fJTi8ctUvpDeUd%2FwIleI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
mas izin nnya supaya ga shock pas kuliah teknik materi yang harus dikuasai pas sma apa ya btw aku smk,6,4.0,2025-09-22T01:59:02.000Z,emirdemansfield,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7203242138112508955,7552727142007390977,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/4d54519f83dd6ff2083eac8167cf89f0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=79711f94&x-expires=1765332000&x-signature=t4%2BqsQRRTG8qU2uIi%2B40oJQSnPE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
love,0,0.0,2025-09-18T21:34:42.000Z,ratriarseno8,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6567156800293273602,7551545757452567314,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7326367324045312001~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ecfb0477&x-expires=1765332000&x-signature=7Xap%2FW32uLVRbqJjlRLXigxkG%2B8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Positif
"minta foto masnya aja, disitu blur",10,1.0,2025-09-22T14:01:22.000Z,irreplaceable.gf,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6791542515276874753,7552913333168341768,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ce938691e4dbf54b9ec3043d2c8359e6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a0798fd9&x-expires=1765332000&x-signature=4ND7Fs8MlaD%2FZQk8gHmmg%2FYxa5M%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
"𝚂𝙴𝙼𝙰𝙽𝙶𝙰𝚃 𝙺𝙰𝚆𝙰𝙽, 𝚂𝙺𝙸𝙻𝙻 & 𝙼𝙰𝚃𝙴𝚁𝙸 𝙰𝙺𝙰𝙽 𝙼𝙴𝙽𝙶𝙸𝙺𝚄𝚃𝙸 𝙹𝙰𝙼 𝚃𝙴𝚁𝙱𝙰𝙽𝙶",2,0.0,2025-09-21T23:55:37.000Z,reyu013,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6959413376766723077,7552695347793904402,https://p16-common-sign.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a91dba43&x-expires=1765332000&x-signature=1r3TgIKGVT6KKGNoB9%2B0MzW5BBw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
izin save gambar pertama mas🙏🏻,6,1.0,2025-09-18T02:28:13.000Z,putunembahmull,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7415164263674676230,7551250361349866258,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/92d9a1e892e21c8e0812b7b20153a796~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bfadff8e&x-expires=1765332000&x-signature=eABfaoAv47xbGsCwFlgQJcg059A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
Monggo mas,1,,2025-09-18T02:28:58.000Z,bmstrr,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7132706165552940059,7551250537104278290,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/62beb33ef41390d9827674651c2f0084~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=33062cbc&x-expires=1765332000&x-signature=Dpd7oU0fJTi8ctUvpDeUd%2FwIleI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
Minta foto yg pertama bng,1,1.0,2025-09-21T12:43:01.000Z,bobrickml,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7040435114661053467,7552522077141615368,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c3acb6858d341f2aa179252661ec690c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=227aa846&x-expires=1765332000&x-signature=JNLLUCGlgYfVYTkx3TWa5PQv%2Bt4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
minta picture video pertama bg,2,2.0,2025-09-20T02:58:27.000Z,raypenginmieayam,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6957511912280294406,7551999405190234898,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9da8d0da98837f8c29c1e66c1526d65f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=69bdbeda&x-expires=1765332000&x-signature=FgmtWo%2FWSGGYtjOexoYFhkGCdsY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
info mentahan gambar 1 mas,1,1.0,2025-09-18T04:19:57.000Z,nazzaaa_25,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6813219467406099458,7551279147898454802,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/35da56bb1509accc1d26c61cfeaaffe8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c77f4877&x-expires=1765332000&x-signature=sNH1mdQdMpVcoOyxeChZIAQo7us%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
Boleh dm aja mas,0,,2025-09-18T07:59:48.000Z,bmstrr,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7132706165552940059,7551335803995226901,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/62beb33ef41390d9827674651c2f0084~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=33062cbc&x-expires=1765332000&x-signature=Dpd7oU0fJTi8ctUvpDeUd%2FwIleI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
josjis,0,0.0,2025-09-19T15:12:45.000Z,rizalfdn_,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6805774615558996993,7551818475234312978,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c6903d4cdbb15f9a646550ac9f0db7fe~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=675e4a24&x-expires=1765332000&x-signature=w3y4ZgC691SSVtUeeKKRdu%2BhZfA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
yang paling awal ada di anime apa,0,0.0,2025-10-13T16:40:23.000Z,vikvikey_,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7155692725768602625,7560747119733146388,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e6404d8fc5d4353bd07997f4830c20b4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e6351242&x-expires=1765332000&x-signature=YUdW46622HWlzLnuZ4cjJ1V28%2Fk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
"teknik ada yg ut gak sih, soalnya sambil kerja ini😭",0,0.0,2025-11-30T10:00:24.000Z,hann.ootd,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6956711152270492677,7578456115844088584,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/1e017005659d48fab73ae8f90c631f92~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4184342b&x-expires=1765332000&x-signature=WzCYg1nh4E19IDFyz8CZteXP%2BVs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
cowo pinter tu dimataku behhh masya Allahh bgttt woy😭,0,0.0,2025-09-30T15:08:15.000Z,rianii261,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6920025389437256705,7555899255169975047,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/86d1a8b06cc9b06fbbcbffedfbf1dbcd~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=22fc6b66&x-expires=1765332000&x-signature=P8Cj6i7c0EmAg%2B3PrDJokWSwXEg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Positif
wow ada,0,0.0,2025-11-03T23:25:18.000Z,feri.andirpardana,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7480593711152464914,7568644212250772242,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c928d360cf37a16e086726cdbc456246~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8d70dc12&x-expires=1765332000&x-signature=d%2F7glYEGIt7HushmbYqevSIQepI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Positif
in enjoyneering i trust tau2 telat lulussss amsyong 🙏,0,0.0,2025-09-25T12:31:39.000Z,thereshegoeszz,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6838970810770654209,7554003447986668305,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7323812272059449346~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5d9857ae&x-expires=1765332000&x-signature=Q%2FYUqTczHEbTtUiED4D71FGp7Ts%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Positif
enginering semenarik itu,4,0.0,2025-06-18T12:47:31.000Z,aandiaraa,https://www.tiktok.com/@thespecialoneeeeeeee/video/7516896831268195590,7198201365976990722,7517270129559094032,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/63ed78425136089fcc3b059d08a48d30~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cb26c895&x-expires=1765332000&x-signature=%2Ba50i4DuYV2AsVucOd1R15SwPiQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
in engineering we trust,0,0.0,2025-06-18T17:45:43.000Z,syesann,https://www.tiktok.com/@thespecialoneeeeeeee/video/7516896831268195590,6953391712601850881,7517346969083396872,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e910e977d2d8b9380dcd03567d09da22~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9cb92688&x-expires=1765332000&x-signature=4K2fgrcOJK6qIfVz%2BSIvrTZe2gk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Positif
salam dari engineering industri💃,0,0.0,2025-06-24T13:53:03.000Z,onewine29,https://www.tiktok.com/@thespecialoneeeeeeee/video/7516896831268195590,6936726873170789377,7519513535443026695,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/eadcb02c4e0e9d942b74dffdd74d501f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6c133c82&x-expires=1765332000&x-signature=5l%2FAsoNA3eERe4Ox%2FRlJS%2BUpjGk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
Pokok di stel dianggep isok ae,1,0.0,2025-06-18T08:09:33.000Z,callmetwistzz,https://www.tiktok.com/@thespecialoneeeeeeee/video/7516896831268195590,6837359959971464194,7517198502989693703,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/5b991840d28a0bfab13affe0cfa24615~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2f1ee76f&x-expires=1765332000&x-signature=090hV2ETFFUb3AkEjpV9emJve4A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
sepele gak sih :v,1,0.0,2025-06-18T08:52:59.000Z,unx_pcted,https://www.tiktok.com/@thespecialoneeeeeeee/video/7516896831268195590,6847516178869519362,7517209671431701264,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2dba47b5e34d532eebdf18755bcf1210~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bb954e78&x-expires=1765332000&x-signature=wIc%2FLG5JoH68RMwpkMFFkwWg3nc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
"bilang bisa aja dulu,masalah bisa atau enggak nya urusan nanti 🗿",1,0.0,2025-06-18T14:11:29.000Z,pqolb,https://www.tiktok.com/@thespecialoneeeeeeee/video/7516896831268195590,6786189572265198594,7517291780548477704,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d2418a95dac2be67f4d3278a44b91eeb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c4d84b7c&x-expires=1765332000&x-signature=zMs2uymesvYHlOk2z8L6gX%2F2vLE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
fakta tapi,1,1.0,2025-06-20T06:20:24.000Z,frvfrby,https://www.tiktok.com/@thespecialoneeeeeeee/video/7516896831268195590,6580610401447723009,7517912533338129160,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/94435d15f9f3cd5c14b77ced73d78d31~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2a08424d&x-expires=1765332000&x-signature=QHyZswU9TNHq4d02xcKG3471XJM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
@miiiim:tapi kalo udah stuck ngelamun😂,1,0.0,2025-06-19T17:23:22.000Z,reynihbang_,https://www.tiktok.com/@thespecialoneeeeeeee/video/7516896831268195590,258503317457301504,7517712295733625601,https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/d845fa10bf3999add37c716229107ce1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=35b6b387&x-expires=1765332000&x-signature=Dvp6vevvifEGMJ6wZQjXjZx3Arg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
ngene tok karo merem yo bablas turu,1,0.0,2025-06-20T05:43:53.000Z,yanpvnk,https://www.tiktok.com/@thespecialoneeeeeeee/video/7516896831268195590,6855957273903186945,7517903126532883221,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c47f2a5f8c7982037e04dfa9df1df8e3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=53993ca8&x-expires=1765332000&x-signature=i9lI7%2BCX6G016SFist6%2F2oW9w4w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
Pd aja dulu der🗿,1,0.0,2025-06-19T01:58:12.000Z,alter.yurii_,https://www.tiktok.com/@thespecialoneeeeeeee/video/7516896831268195590,6771990310232359937,7517473866026550034,https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/81417603dd8ea945b46d8583065298a8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=782e1117&x-expires=1765332000&x-signature=urjZaqtnIt6uFal%2FKFBTAoSRSIE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
tapi kalo udah stuck ngelamun😂,486,9.0,2025-06-18T07:55:16.000Z,resistor.tutung,https://www.tiktok.com/@thespecialoneeeeeeee/video/7516896831268195590,7434815210043638802,7517194829818987271,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/77ebe1207a18f4b3a210f81b3514156d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3c0a21d6&x-expires=1765332000&x-signature=SrqXXFa%2FmKO2sUh2HEIgtADigz0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
"ez itumah, sambil tutup mata juga tidur🤭",3,0.0,2025-06-20T16:56:45.000Z,zanzz.storejb,https://www.tiktok.com/@thespecialoneeeeeeee/video/7516896831268195590,7268209375783699462,7518076545215234824,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/c380cec78362663b0c97855a93053d7a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=eb0fad5f&x-expires=1765332000&x-signature=pDf9it%2FEDuX6iEOYZNxDwLMPiT4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
